"";"Format";"Themen";"Links";"Autor";"Laenge";"Datum"
"1";"Mittag";"Pharmaindustrie im Kanzleramt / Feuerpause im Gazastreifen beendet / Gastronomie in Nöten / Bundestag berät über Nachtragshaushalt .";"https://www.sr-mediathek.de/index.php?seite=7&id=33212&pnr=&tbl=pf";"Florian Mayer";30M 1S;2023-12-01
"2";"Mittag";"Testet Bayern umstrittene Polizei-Software ohne Rechtsgrund / Kontraste: Hamas auf Tiktok / Rückführungsverbesserungsgesetz im Bundestag / OSZE-Treffen in Skopje / Mutmaßliches IS-Mitglied in Trier festgenommen";"https://www.sr-mediathek.de/index.php?seite=7&id=33191&pnr=&tbl=pf";"Michael Thieser";29M 27S;2023-11-30
"3";"Mittag";"Lage in Nahost / Telefonische Krankschreibung / Signa-Holding meldet Insolvenz an / Michelin schrumpft Werk in Homburg zusammen / Ford-Betriebsversammlung /  BVerfG-Urteil: Bundeswahlrecht 2020";"https://www.sr-mediathek.de/index.php?seite=7&id=33177&pnr=&tbl=pf";"Peter Weitzmann";29M 26S;2023-11-29
"4";"Mittag";"Regierungserklärung Scholz / CDU für und gegen Schuldenbremse / Gaza: Waffenruhe verlängert / Polen: Regierung ohne Mehrheit / Letzte Vorbereitungen zur Weltklimakonferenz / Auftakt Nato-Außenminister zu Ukraine-Hilfe";"https://www.sr-mediathek.de/index.php?seite=7&id=33159&pnr=&tbl=pf";"Jochen Marmit";30M 0S;2023-11-28
"5";"Mittag";"Wirtschaftsminister bei Habeck / Rückblick: Grünen-Parteitag mit Selbstbeschau / Studienkredite immer teurer / Gaza aktuell - Wird das Abkommen verlängert? / Überschwemmungen an der Krim";"https://www.sr-mediathek.de/index.php?seite=7&id=33145&pnr=&tbl=pf";"Jochen Marmit";30M 0S;2023-11-27
"6";"Mittag";" CDU-Parteitag / Haushaltssperre - Wochenzusammenfassung  / Waffenruhe hält - erste Geiseln sind frei / Interview der Woche mit Jean Asselborn";"https://www.sr-mediathek.de/index.php?seite=7&id=33130&pnr=&tbl=pf";"Florian Mayer";29M 59S;2023-11-25
"7";"Mittag";"Weltklimakonferenz: Pazifikstaaten wollen mehr Klimaschutz einfordern / Aachener Kaufhof-Nachfolger ist insolvent / Gazastreifen / Der Bundesrat und das Haushaltsloch / Krawalle nach Messerattacke in Dublin";"https://www.sr-mediathek.de/index.php?seite=7&id=33107&pnr=&tbl=pf";"Jochen Marmit";30M 2S;2023-11-24
"8";"Mittag";"Razzien Hamas + Samidoun ODER Reichsbürger? / Geert Wilders und seine Pläne / Wo stehen die Grünen? Interview mit Prof. Uwe Jun,Politikwissenschaftler an Uni Trier / Gipfeltreffen EU-Kanada.";"https://www.sr-mediathek.de/index.php?seite=7&id=33092&pnr=&tbl=pf";"Jochen Marmit";29M 58S;2023-11-23
"9";"Mittag";"Israels Regierung stimmt Freilassung von Geiseln zu / So spannend wie noch nie! Die Parlamentswahl in den Niederlanden hat begonnen /Bundesverfassungsgericht Zeugnisvermerke bei Schülern mit Legasthenie zulässig";"https://www.sr-mediathek.de/index.php?seite=7&id=33082&pnr=&tbl=pf";"Michael Thieser";29M 38S;2023-11-22
"10";"Mittag";"Reaktionen auf Haushaltssperre / Lage Gaza/Israel / Deutsche Islamkonferenz: Dialog nie so wichtig wie heute? / Pistorius in Kiew / Künstliche Intelligenz und das Militär: Wofür wird es eingesetzt, wo gibt es Bedenken?";"https://www.sr-mediathek.de/index.php?seite=7&id=33068&pnr=&tbl=pf";"Isabelle Tentrup";29M 40S;2023-11-21
