"";"Format";"Themen";"Links";"Autor";"Laenge";"Datum"
"1";"Mittag";"Wieder Raketenangriffe auf Kabul / Gerettete in Ramstein - Kapazitätsgrenze erreicht / Showdown zu dritt - Das erste Wahlkampf-""Triell"" / Testen und Masken - Im Saarland fängt die Schule wieder an / Paralympics";"https://www.sr-mediathek.de/index.php?seite=7&id=22079&pnr=&tbl=pf";"Katrin Aue";29M 54S;2021-08-30
"2";"Mittag";"""Planer"" der IS-Miliz in Afghanistan im Visier - USA fliegen Drohnenangriff / Trotz Terrorwarnung - Tausende Menschen versuchen Kabul zu verlassen /  Interview der Woche mit Jens Spahn, Bundesgesundheitsminister (CDU)";"https://www.sr-mediathek.de/index.php?seite=7&id=22060&pnr=&tbl=pf";"Katrin Aue";29M 56S;2021-08-28
"3";"Mittag";"die aktuelle Lage in Afghanistan / Was macht eigentlich der IS in Syrien und im Irak? / Diskussion um ""Durchseuchung"" der Kinder und nach dem Erdbeben in Haiti - Internationale Hilfe läuft an";"https://www.sr-mediathek.de/index.php?seite=7&id=22045&pnr=&tbl=pf";"Katrin Aue";29M 53S;2021-08-27
"4";"Mittag";"Aktuelle Lage am Kabuler Flughafen / Fukushima - Kontaminiertes Wasser soll über Tunnel ins Meer abgeleitet werden / Lagern in Deutschland - Leiden in Kenia  zu Impf-Ungerechtigkeit";"https://www.sr-mediathek.de/index.php?seite=7&id=22030&pnr=&tbl=pf";"Katrin Aue";30M 0S;2021-08-26
"5";"Mittag";"Die Uhr tickt - Lage am Flughafen Kabul / Lage im Ahrtal - sechs Wochen nach der Flutkatastrophe / Lachssterben im Columbia River / Paralympics - Sportliches vom Vormittag";"https://www.sr-mediathek.de/index.php?seite=7&id=22007&pnr=&tbl=pf";"Peter Weitzmann";30M 1S;2021-08-25
"6";"Mittag";"Lage in Afghanistan / Corona - Diskussion über Inzidenzwert etc. / Studie - Immer noch viele Antibiotika an Putenfleisch / Brasilien - Proteste von Indigenen nehmen zu / Paralympics vor der Eröffnung";"https://www.sr-mediathek.de/index.php?seite=7&id=21995&pnr=&tbl=pf";"Yvonne Schleinhege";30M 7S;2021-08-24
"7";"Mittag";"Afghanistan: Schüsse am Flughafen/6500 Menschen aus Afghanistan in Ramstein gelandet/Bahnstreiks seit dem Morgen - Auswirkungen/Schwedens Premier kündigt Rücktritt an.";"https://www.sr-mediathek.de/index.php?seite=7&id=21982&pnr=&tbl=pf";"Peter Weitzmann";30M 1S;2021-08-23
"8";"Mittag";"Afghanische Ortskräfte in Ramstein angekommen / Kanzlerin Merkel zwischen Moskau und Kiew / Besuchsregelung in saarländischen Krankenhäusern / IdW mit Volker Bescht, Ex-Brigadegeneral";"https://www.sr-mediathek.de/index.php?seite=7&id=21968&pnr=&tbl=pf";"Yvonne Schleinhege";30M 5S;2021-08-21
"9";"Mittag";"Afghanistan: Aktuelle Lage vor Ort / Kommentar: Biden demontiert sich und Amerikas Zukunft / Nawalny: Aus den Augen, aus dem Sinn? / Lieferengpässe gefährden wirtschaftliche Erholung / Entwicklung Corona: Mitten in der Vierten Welle?";"https://www.sr-mediathek.de/index.php?seite=7&id=21955&pnr=&tbl=pf";"Peter Weitzmann";29M 57S;2021-08-20
"10";"Mittag";"Afghanen in der Türkei <U+0096> unsicher im ungeliebten Land/Welttag  humanitäre Hilfe:  wie weiter z.B.  in Afghanistan/Tote bei Anschlag in Burkina Faso/Prozessauftakt Amokfahrt  Trier.";"https://www.sr-mediathek.de/index.php?seite=7&id=21933&pnr=&tbl=pf";"Janek Böffel";29M 53S;2021-08-19
"11";"Mittag";"Kabuler Flughafen: Tränengas und Tumulte/USA: Wie konnte das passieren?Spurensuche nach der Fehleinschätzung/Zinssatz auf Steuernachforderungen ist verfassungswidrig.";"https://www.sr-mediathek.de/index.php?seite=7&id=21923&pnr=&tbl=pf";"Janek Böffel";29M 36S;2021-08-18
"12";"Mittag";"Lage in Kabul an Tag 1 der Taliban-Herrschaft / USA stocken Militär in Kabul auf / Lage der deutschen Evakuierungaktion / Mehr als 1300 Tote nach Erdbeben auf Haiti / Tod eines Unsterblichen - Gerd Müller ist tot / Aktuelle Lage in Kabul";"https://www.sr-mediathek.de/index.php?seite=7&id=21891&pnr=&tbl=pf";"Lisa Krauser";30M 19S;2021-08-16
"13";"Mittag";"Afghanistan: Flüchtlinge haben Angst/Türkei im Dauer-Krisenmodus/IdW mit Armin Schuster, Präsident des Bundesamtes für Bevölkerungsschutz und Katastrophenhilfe.";"https://www.sr-mediathek.de/index.php?seite=7&id=21878&pnr=&tbl=pf";"Lisa Krauser";29M 53S;2021-08-14
"14";"Mittag";"BVerfG-Entscheidung zur Wahlrechtsreform / Gedenkveranstaltung 60 Jahre Mauerbau / DRK St. Ingbert lässt Verträge von 25 Mitarbeitern auslaufen / Biden schickt Sondergesandten nach Äthiopien";"https://www.sr-mediathek.de/index.php?seite=7&id=21860&pnr=&tbl=pf";"Peter Weitzmann";29M 49S;2021-08-13
"15";"Mittag";"Aktueller Stand zum Streik der Gewerkschaft der Lokführer / Umstrittenes Mediengesetz in Polen verabschiedet / Taliban weisen Berichte über Gräueltaten zurück <U+0096> doch die Bevölkerung ist in Angst";"https://www.sr-mediathek.de/index.php?seite=7&id=21845&pnr=&tbl=pf";"Stephan Deppen";30M 1S;2021-08-12
"16";"Mittag";"Ab 11. Oktober keine Gratis-Tests mehr / Nach der Ministerpräsidentenkonferenz / Vier Wochen nach der Flutkatastrophe: Beispiel Hagen / Bahnstreik angelaufen - alle Räder stehen still...?  / Sechs Monate nach dem Mietskandal in Ottweiler / Binnenflüchtlinge in Afghanistan / Immer mehr Menschen: Lage an der litauischen Grenze / Bulgarien womöglich vor 3. Wahl binnen eines Jahres";"https://www.sr-mediathek.de/index.php?seite=7&id=21834&pnr=&tbl=pf";"Lisa Krauser";29M 55S;2021-08-11
