"";"Format";"Themen";"Links";"Autor";"Laenge";"Datum"
"18";"Mittag";"Inspiration 4 - erster touristischer Flug in die Umlaufbahn startet/Reintegration? - Hunderte Ex-Kämpfer von Boko Haram geben auf/Historischer Durchbruch? - Ein Jahr nach der Unterzeichnung der <U+0084>Abraham<U+0093>-Abkommen.";"https://www.sr-mediathek.de/index.php?seite=7&id=22309&pnr=&tbl=pf";"Isabelle Tentrupp";30M 6S;2021-09-15
"19";"Mittag";"Vierkampf zeigt Unterschiede und lässt Koalitionen offen / Syriens Präsident Assad überraschend zu Besuch bei Putin / Regierungswechsel in Norwegen / Report Mainz. In Fällen sexualisierter Gewalt im Netz fast jeder zweite Tatverdächtige minderjährig / Vor dem FORD-Aktionstag: Lage der Beschäftigten / Interview der Woche mit Armin Laschet";"https://www.sr-mediathek.de/index.php?seite=7&id=22295&pnr=&tbl=pf";"Florian Mayer";29M 52S;2021-09-14
"20";"Mittag";"TV-Triell Baerbock, Laschet, Scholz / Impfaktionswoche gestartet - Karlizcek & Co. werben für den Piks / Verfassungsbeschwerde Klimaschutzgesetz Saarland / Afghanistan-Geberkonferenz der Vereinten Nationen / Waldbrand in Südspanien immer noch außer Kontroll / Norwegen wählt - Regierungswechsel wahrscheinlich";"https://www.sr-mediathek.de/index.php?seite=7&id=22278&pnr=&tbl=pf";"Karin Mayer";29M 49S;2021-09-13
"21";"Mittag";"CSU-Parteitag/""Einheit ist unsere Stärke""Videobotschaft von US-Präsident Biden zum 20. Jahrestag von 9/11/Afghanistan - katastrophale humanitäre Lage löst Flüchtlingsströme aus.";"https://www.sr-mediathek.de/index.php?seite=7&id=22264&pnr=&tbl=pf";"Florian Mayer";29M 49S;2021-09-11
"22";"Mittag";"Kein Geld für Ungeimpfte in Quarantäne? / Dänemark hebt alle Corona-Restriktionen auf / Lukaschenko und Putin einigen sich auf Gesamtpaket für engere Zusammenarbeit / Bernd Greiner, Historiker, zu 20 Jahre 9/11.";"https://www.sr-mediathek.de/index.php?seite=7&id=22248&pnr=&tbl=pf";"Folrian Mayer";30M 3S;2021-09-10
"23";"Mittag";"Montgomery fordert schärfere Corona-Maßnahmen / Luca-App im Saarland / Tag des alkoholgeschädigten Kindes / China kündigt Millionen-Hilfe für Taliban an /  Nordmazedonien - Mindestens 14 Tote bei Brand in Covid-Krankenhaus";"https://www.sr-mediathek.de/index.php?seite=7&id=22220&pnr=&tbl=pf";"Isabelle Tentrup";30M 19S;2021-09-09
"24";"Mittag";"Prozessauftakt Bataclan / ""Keine Geisel-Lage"" - US-Regierung verhandelt über Ausreise von Amerikanern / PK Spahn und Wieler zur Impfkampagne / BTW21 - Wahlkreisporträts Saarlouis - Maas gegen Altmaier";"https://www.sr-mediathek.de/index.php?seite=7&id=22205&pnr=&tbl=pf";"Isabelle Tentrup";30M 19S;2021-09-08
"25";"Mittag";"Letzte Bundestagssitzung / Wahlarena Baerbock / Start der IAA Mobility - Lage der Autobranche / Quarantäneregelungen an Schulen / Die Welt impft - Afrika schaut zu / Amnesty - Syrischer Geheimdienst foltert Ex-Flüchtlinge";"https://www.sr-mediathek.de/index.php?seite=7&id=22193&pnr=&tbl=pf";"Florian Mayer";28M 59S;2021-09-07
"26";"Mittag";"Koalitionsdebatten und Linken-Sofortprogramm / Linke stellt Sofortprogramm vor / Taliban erobern Pandschir-Tal - jetzt vollständige Kontrolle über Afghanistan / Belarus - Urteil gegen die Oppositionelle Maria Kolesnikowa";"https://www.sr-mediathek.de/index.php?seite=7&id=22171&pnr=&tbl=pf";"Janek Böffel";29M 56S;2021-09-06
"27";"Mittag";"GDL setzt Bahn-Streik fort - Kritik von DGB und aus der Politik / Impfen in Spanien - Was machen die anders? / Widerstand in Afghanistan - Taliban kämpfen wieder / Interview der Woche mit Olaf Scholz, SPD-Kanzlerkandidat";"https://www.sr-mediathek.de/index.php?seite=7&id=22160&pnr=&tbl=pf";"Yvonne Schleinhege";30M 18S;2021-09-04
"28";"Mittag";"Laschet stellt sein ""Zukunftsteam"" vor / Abfrage von Corona-Impfstatus für Arbeitgeber möglich / Ampel, Booster und Co. - Bachmann zu Impfen / Tropensturm Ida wütet an US-Ostküste";"https://www.sr-mediathek.de/index.php?seite=7&id=22146&pnr=&tbl=pf";"Yvonne Schleinhege";30M 6S;2021-09-03
"29";"Mittag";"EU-Verteidigungsminister zu Lehren aus Afghanistan / In Masar-i-Sharif kommt UN-Hilfe an / Diskussion über Rot-grün-rot / Bahn zieht gegen GDL vor Gericht / Vor Duma-Wahl - Putin verteilt Wahlgeschenk / Abtreibungsgesetz in Texas";"https://www.sr-mediathek.de/index.php?seite=7&id=22124&pnr=&tbl=pf";"Peter Weitzmann";30M 1S;2021-09-02
"30";"Mittag";"Corona - Arbeitsschutzverordnung im Kabinett / USA - viele Kinder und Ungeimpfte im Krankenhaus / Afghanische Flüchtlinge - Türkei macht Grenze zu Iran dicht / Gute Nachrichten nach Wildtierzählung in Kenia";"https://www.sr-mediathek.de/index.php?seite=7&id=22104&pnr=&tbl=pf";"Peter Weitzmann";30M 2S;2021-09-01
"31";"Mittag";"Mit dem 31. August endet der US-Militäreinsatz in Afghanistan / Zuhören nur mit Zeitverzögerung - Terrorprozess in Guantanamo mit strengen Sicherheitsauflagen / Waldbrand bedroht Lake Tahoe in Kalifornien";"https://www.sr-mediathek.de/index.php?seite=7&id=22090&pnr=&tbl=pf";"Katrin Aue";30M 0S;2021-08-31
"32";"Mittag";"Wieder Raketenangriffe auf Kabul / Gerettete in Ramstein - Kapazitätsgrenze erreicht / Showdown zu dritt - Das erste Wahlkampf-""Triell"" / Testen und Masken - Im Saarland fängt die Schule wieder an / Paralympics";"https://www.sr-mediathek.de/index.php?seite=7&id=22079&pnr=&tbl=pf";"Katrin Aue";29M 54S;2021-08-30
"33";"Mittag";"""Planer"" der IS-Miliz in Afghanistan im Visier - USA fliegen Drohnenangriff / Trotz Terrorwarnung - Tausende Menschen versuchen Kabul zu verlassen /  Interview der Woche mit Jens Spahn, Bundesgesundheitsminister (CDU)";"https://www.sr-mediathek.de/index.php?seite=7&id=22060&pnr=&tbl=pf";"Katrin Aue";29M 56S;2021-08-28
"34";"Mittag";"die aktuelle Lage in Afghanistan / Was macht eigentlich der IS in Syrien und im Irak? / Diskussion um ""Durchseuchung"" der Kinder und nach dem Erdbeben in Haiti - Internationale Hilfe läuft an";"https://www.sr-mediathek.de/index.php?seite=7&id=22045&pnr=&tbl=pf";"Katrin Aue";29M 53S;2021-08-27
"35";"Mittag";"Aktuelle Lage am Kabuler Flughafen / Fukushima - Kontaminiertes Wasser soll über Tunnel ins Meer abgeleitet werden / Lagern in Deutschland - Leiden in Kenia  zu Impf-Ungerechtigkeit";"https://www.sr-mediathek.de/index.php?seite=7&id=22030&pnr=&tbl=pf";"Katrin Aue";30M 0S;2021-08-26
"36";"Mittag";"Die Uhr tickt - Lage am Flughafen Kabul / Lage im Ahrtal - sechs Wochen nach der Flutkatastrophe / Lachssterben im Columbia River / Paralympics - Sportliches vom Vormittag";"https://www.sr-mediathek.de/index.php?seite=7&id=22007&pnr=&tbl=pf";"Peter Weitzmann";30M 1S;2021-08-25
"37";"Mittag";"Lage in Afghanistan / Corona - Diskussion über Inzidenzwert etc. / Studie - Immer noch viele Antibiotika an Putenfleisch / Brasilien - Proteste von Indigenen nehmen zu / Paralympics vor der Eröffnung";"https://www.sr-mediathek.de/index.php?seite=7&id=21995&pnr=&tbl=pf";"Yvonne Schleinhege";30M 7S;2021-08-24
"38";"Mittag";"Afghanistan: Schüsse am Flughafen/6500 Menschen aus Afghanistan in Ramstein gelandet/Bahnstreiks seit dem Morgen - Auswirkungen/Schwedens Premier kündigt Rücktritt an.";"https://www.sr-mediathek.de/index.php?seite=7&id=21982&pnr=&tbl=pf";"Peter Weitzmann";30M 1S;2021-08-23
"39";"Mittag";"Afghanische Ortskräfte in Ramstein angekommen / Kanzlerin Merkel zwischen Moskau und Kiew / Besuchsregelung in saarländischen Krankenhäusern / IdW mit Volker Bescht, Ex-Brigadegeneral";"https://www.sr-mediathek.de/index.php?seite=7&id=21968&pnr=&tbl=pf";"Yvonne Schleinhege";30M 5S;2021-08-21
"40";"Mittag";"Afghanistan: Aktuelle Lage vor Ort / Kommentar: Biden demontiert sich und Amerikas Zukunft / Nawalny: Aus den Augen, aus dem Sinn? / Lieferengpässe gefährden wirtschaftliche Erholung / Entwicklung Corona: Mitten in der Vierten Welle?";"https://www.sr-mediathek.de/index.php?seite=7&id=21955&pnr=&tbl=pf";"Peter Weitzmann";29M 57S;2021-08-20
"41";"Mittag";"Afghanen in der Türkei <U+0096> unsicher im ungeliebten Land/Welttag  humanitäre Hilfe:  wie weiter z.B.  in Afghanistan/Tote bei Anschlag in Burkina Faso/Prozessauftakt Amokfahrt  Trier.";"https://www.sr-mediathek.de/index.php?seite=7&id=21933&pnr=&tbl=pf";"Janek Böffel";29M 53S;2021-08-19
"42";"Mittag";"Kabuler Flughafen: Tränengas und Tumulte/USA: Wie konnte das passieren?Spurensuche nach der Fehleinschätzung/Zinssatz auf Steuernachforderungen ist verfassungswidrig.";"https://www.sr-mediathek.de/index.php?seite=7&id=21923&pnr=&tbl=pf";"Janek Böffel";29M 36S;2021-08-18
"43";"Mittag";"Lage in Kabul an Tag 1 der Taliban-Herrschaft / USA stocken Militär in Kabul auf / Lage der deutschen Evakuierungaktion / Mehr als 1300 Tote nach Erdbeben auf Haiti / Tod eines Unsterblichen - Gerd Müller ist tot / Aktuelle Lage in Kabul";"https://www.sr-mediathek.de/index.php?seite=7&id=21891&pnr=&tbl=pf";"Lisa Krauser";30M 19S;2021-08-16
"44";"Mittag";"Afghanistan: Flüchtlinge haben Angst/Türkei im Dauer-Krisenmodus/IdW mit Armin Schuster, Präsident des Bundesamtes für Bevölkerungsschutz und Katastrophenhilfe.";"https://www.sr-mediathek.de/index.php?seite=7&id=21878&pnr=&tbl=pf";"Lisa Krauser";29M 53S;2021-08-14
"45";"Mittag";"BVerfG-Entscheidung zur Wahlrechtsreform / Gedenkveranstaltung 60 Jahre Mauerbau / DRK St. Ingbert lässt Verträge von 25 Mitarbeitern auslaufen / Biden schickt Sondergesandten nach Äthiopien";"https://www.sr-mediathek.de/index.php?seite=7&id=21860&pnr=&tbl=pf";"Peter Weitzmann";29M 49S;2021-08-13
"46";"Mittag";"Aktueller Stand zum Streik der Gewerkschaft der Lokführer / Umstrittenes Mediengesetz in Polen verabschiedet / Taliban weisen Berichte über Gräueltaten zurück <U+0096> doch die Bevölkerung ist in Angst";"https://www.sr-mediathek.de/index.php?seite=7&id=21845&pnr=&tbl=pf";"Stephan Deppen";30M 1S;2021-08-12
"47";"Mittag";"Ab 11. Oktober keine Gratis-Tests mehr / Nach der Ministerpräsidentenkonferenz / Vier Wochen nach der Flutkatastrophe: Beispiel Hagen / Bahnstreik angelaufen - alle Räder stehen still...?  / Sechs Monate nach dem Mietskandal in Ottweiler / Binnenflüchtlinge in Afghanistan / Immer mehr Menschen: Lage an der litauischen Grenze / Bulgarien womöglich vor 3. Wahl binnen eines Jahres";"https://www.sr-mediathek.de/index.php?seite=7&id=21834&pnr=&tbl=pf";"Lisa Krauser";29M 55S;2021-08-11
"48";"Mittag";"Vor der Corona-MPK: Ausgangslage / Abstimmung über Lokführer-Streik / Regierungsbildung in Sachsen-Anhalt abgeschlossen / Karliczek testet Quantenkommunikationsverbindung / Afghanistan - Verbleibende Ortskräfte verzweifeln";"https://www.sr-mediathek.de/index.php?seite=7&id=21823&pnr=&tbl=pf";"Stephan Deppen";29M 38S;2021-08-10
"49";"Mittag";"Entwicklung in Afghanistan / Weltklimarat mit aktuellem Bericht / Corona-Bestimmungen Frankreich / Brände in der Türkei";"https://www.sr-mediathek.de/index.php?seite=7&id=21810&pnr=&tbl=pf";"Karin Mayer";29M 55S;2021-08-09
"50";"Mittag";"Brandgeschehen in der Türkei / Brände in Griechenland / Wegen Rekordzahlen - USA fliegen Migranten aus Zentralamerika nach Mexiko aus / Olympia aktuell / Moderner Fünfkampf: Pferd geschlagen - DOSB zieht Konsequenzen / Interview der Woche mit den saarländischen Abgeordneten Nadine Schön CDU, Christian Wirth AfD und Heiko Maas von der SPD";"https://www.sr-mediathek.de/index.php?seite=7&id=21798&pnr=&tbl=pf";"Peter Weitzmann";30M 2S;2021-08-07
"51";"Mittag";"Waldbrand Griechenland / Waldbrandlage Türkei / Biden und die E-Autos / Deutschland spendet Impfdosen / Fachkonferenz zur Endlagersuche / Offener Brief an Grünenchefin / Olympia";"https://www.sr-mediathek.de/index.php?seite=7&id=21781&pnr=&tbl=pf";"Peter Weitzmann";29M 25S;2021-08-06
"52";"Mittag";"Entscheidung des BVerfG zum Rundfunkbeitrag / Ergebnisse der Studie ""Wirtschaftsschutz und Cybercrime"" / Waldbrände in Griechenland / Amtseinführung Ebrahim Raisi - Präsident Iran";"https://www.sr-mediathek.de/index.php?seite=7&id=21760&pnr=&tbl=pf";"Peter Weitzmann";30M 1S;2021-08-05
"53";"Mittag";"Kabinett zu Hilfen für Firmen in Hochwassergebieten / Waldbrände in Athen zusehends außer Kontrolle / Kein Durchblick bei Steuertricks von Miethaien / Schweres Zugunglück in Tschechien";"https://www.sr-mediathek.de/index.php?seite=7&id=21748&pnr=&tbl=pf";"Yvonne Schleinhege";29M 55S;2021-08-04
"54";"Mittag";"Dutzende Leichen in Grenzfluss zum Sudan entdeckt / Impflage - Interview Staatssekretär Kolling / 6000 Dosen Astrazeneca für die Tonne / Scholz und Laschet gemeinsam im Flutgebiet";"https://www.sr-mediathek.de/index.php?seite=7&id=21736&pnr=&tbl=pf";"Janek Böffel";30M 1S;2021-08-03
"55";"Mittag";"Gesundheitsminister-Schalte zu Impfungen / Fazit - Erster Tag Testpflicht an der Grenze / Deutsche Fregatte startet Richtung Indopazifik / 20 Jahre G8 / Waldbrände wüten in der Türkei / Olympia Zusammenfassung";"https://www.sr-mediathek.de/index.php?seite=7&id=21721&pnr=&tbl=pf";"Karin Mayer";29M 55S;2021-08-02
"56";"Mittag";"Weiter Debatte über Testpflicht / New York: ""Katastrophen-Notfall"" wegen Waffen / Erftstadt/Büttner - Einwohner fordern Auskunft über Rückkehr ihre Häuser";"https://www.sr-mediathek.de/index.php?seite=7&id=21687&pnr=&tbl=pf";"Janek Böffel";30M 1S;2021-07-30
"57";"Mittag";"Zwei Wochen danach: Landwirt aus Prüm berichtet von der Flutnacht und will den Hof aufgeben / Nach Explosion im Chemiepark - Brandermittler nehmen Arbeit auf / Arbeitsmarkt -  Fokus auf Ausbildung";"https://www.sr-mediathek.de/index.php?seite=7&id=21668&pnr=&tbl=pf";"Janek Böffel";29M 44S;2021-07-29
"58";"Mittag";"Schnelle Änderung der Einreiseregeln schon zum 1. August? / 70 Jahre Flüchtlingskonvention - Int. mit Chris Melzer, UNHCR / 6. Januar - Tränen, Angst und Zorn im Untersuchungsausschuss / Rassismus-Skandal im deutschen Radsport";"https://www.sr-mediathek.de/index.php?seite=7&id=21659&pnr=&tbl=pf";"Katrin Aue";30M 1S;2021-07-28
"59";"Mittag";"Explosion auf Chemie-Gelände in Leverkusen / Plant Spahn schärfere Einreiseregeln? / Sturm aufs Kapitol <U+0096> Untersuchungsausschuss nimmt Arbeit auf / Erstes Gold für Deutschland: Slalom-Kanutin Funk gewinnt";"https://www.sr-mediathek.de/index.php?seite=7&id=21647&pnr=&tbl=pf";"Katrin Aue";30M 2S;2021-07-27
"60";"Mittag";"Pro und Contra: Regeln nur für Ungeimpfte? / Sitzung Innenausschuss zum Katastrophenmanagement / Hubertus Heil im Saarland / EU will besseren Schutz der Außengrenzen";"https://www.sr-mediathek.de/index.php?seite=7&id=21633&pnr=&tbl=pf";"Peter Weitzmann";29M 24S;2021-07-26
"61";"Mittag";"Neue Regenfälle erwartet Lage in den Hochwassergebieten spitzt sich zu / Olympia 2020 / Sommerinterview: Thomas Lutze, die Linke, Annegret Kramp-Karrenbauer, CDU, Markus Tressel, Die Grünen";"https://www.sr-mediathek.de/index.php?seite=7&id=21618&pnr=&tbl=pf";"Peter Weitzmann";30M 7S;2021-07-24
"62";"Mittag";"Olympische Spiele in Tokio / G20 Umweltministertreffen in Neapel  / Hochwasser - Psycholgische Erste Hilfe in den Krisengebieten";"https://www.sr-mediathek.de/index.php?seite=7&id=21602&pnr=&tbl=pf";"Florian Mayer";30M 2S;2021-07-23
"63";"Mittag";"North-Stream-2-Einigung / Aufräumen in Ahrweiler / Treffen der G20 Umwelt- und Klimaminister in Neapel / Zehn Jahre Utoya / Olympia Auftakt für Fußballer / Comeback der Autoaktie?";"https://www.sr-mediathek.de/index.php?seite=7&id=21577&pnr=&tbl=pf";"Katrin Aue";29M 46S;2021-07-22
"64";"Mittag";"Hochwasserentschädigung - Diskussion in Berlin / Hochwasser und Schäden in China / Corona: neue Einreiseregeln / BVerfG: Mündliche Verhandlung: Was darf die Bundeskanzlerin sagen? / Olympia 2032 nach Brisbane";"https://www.sr-mediathek.de/index.php?seite=7&id=21564&pnr=&tbl=pf";"Katrin Aue";29M 47S;2021-07-21
"65";"Mittag";"Katastrophenschutz-Debatte geht weiter / Nothilfe Rheinland-Pfalz vom Nürburgring aus / Nationaler Trauertag in Belgien / Neue Brände an der US-Westküste / Wallfahrt nach Mekka unter Corona-Bedingungen";"https://www.sr-mediathek.de/index.php?seite=7&id=21553&pnr=&tbl=pf";"Florian Mayer";30M 2S;2021-07-20
"66";"Mittag";"Hochwasser auch in Bayern / Hat der Katastrophenschutz seinen Job nicht gemacht? / Lage im Landkreis Ahrweiler / Pegasus-Projekt: Ungarn scheint zugegriffen zu haben / Neue Proteste in Kuba unterdrückt";"https://www.sr-mediathek.de/index.php?seite=7&id=21531&pnr=&tbl=pf";"Florian Mayer";30M 8S;2021-07-19
"67";"Mittag";"Hochwasserlage Rheinland-Pfalz  und in NRW / Wie geht es weiter bei saarländischen Grünen? Erster Coronafall im olympischen Athletendorf und das Interview der Woche mit IdW mit Josefine Ortleb, SPD und Markus Uhl, CDU";"https://www.sr-mediathek.de/index.php?seite=7&id=21515&pnr=&tbl=pf";"Kathrin Aue";30M 9S;2021-07-17
"68";"Mittag";"Hochwasser-Lage in Trier, Eifelkreis / Lage im Département Moselle und in Luxemburg / Hochwasser-Lage in NRW / Saar-Reaktionen auf das EU-Klimapaket  / EuGH-Urteil zu polnischen Richtern";"https://www.sr-mediathek.de/index.php?seite=7&id=21495&pnr=&tbl=pf";"Florian Mayer";30M 6S;2021-07-16
"69";"Mittag";"Hochwasser-Lage in Trier, Eifelkreis / Lage im Département Moselle und in Luxemburg / Saar-Reaktionen auf das EU-Klimapaket / Vor Merkels Staatsbesuch in den USA / Nordstream II / EuGH-Urteil zu polnischen Richtern";"https://www.sr-mediathek.de/index.php?seite=7&id=21466&pnr=&tbl=pf";"Isabelle Tentrup";29M 55S;2021-07-15
"70";"Mittag";"Gefährdete Bundestagswahl durch Cyberangriffe? / Vor Seeon: Zoff zwischen CSU und Laschet / Kommentar zur Lage der Saar-Grünen / Proteste in Kuba: erster Tote, Verschwundene, Verhaftungen / Immer mehr Plünderungen in Südafrika";"https://www.sr-mediathek.de/index.php?seite=7&id=21448&pnr=&tbl=pf";"Isabelle Tentrup";29M 54S;2021-07-14
"71";"Mittag";"Euro 2021- Italien feiert / Neue Diskussion über Corona-Lockerungen / Proteste für mehr Freiheit in Kuba / Schwieriger Bersuch: Ukraines Präsident in Berlin / Rehlinger stellt Straßenbau-Programm vor";"https://www.sr-mediathek.de/index.php?seite=7&id=21402&pnr=&tbl=pf";"Karin Mayer";30M 14S;2021-07-12
"72";"Mittag";"Bundeswahlausschuss lässt 43 von 87 Kleinparteien /Bangladesch: Unglück enthüllt Kinderarbeit/Nachruf Esther Bejarano/IdW mit Karl-Josef Laumann, NRW-Gesundheitsminister.";"https://www.sr-mediathek.de/index.php?seite=7&id=21384&pnr=&tbl=pf";"Lisa Krauser";29M 53S;2021-07-10
"73";"Mittag";"Lockern oder nicht lockern? neue Diskussion / PIMS - Corona-Folgeerkrankung / Ergebnisse des Stahlgipfels / Absichtserklärung zur Nordsaarlandstraße / Olympische Spiele in Tokio ohne Zuschauer";"https://www.sr-mediathek.de/index.php?seite=7&id=21370&pnr=&tbl=pf";"Lisa Krauser";29M 54S;2021-07-09
"74";"Mittag";"Maas, Asselborn und Le Drian in Schengen / Kommentar - Ist Druck auf die Stiko legitim? / Peter de Vries noch in Lebensgefahr / Olympische Spiele ohne Zuschauer?";"https://www.sr-mediathek.de/index.php?seite=7&id=21349&pnr=&tbl=pf";"Florian Mayer";30M 2S;2021-07-08
"75";"Mittag";"Schüsse auf niederländischen Kriminalreporter / Deutschland übernimmt EU-Ausbildungsmission in Mali / Jahresbericht zum Stand der deutschen Einheit / Die Pflege im Heim wird immer teurer / Nach dem EM-Halbfinale - Spanien weint";"https://www.sr-mediathek.de/index.php?seite=7&id=21339&pnr=&tbl=pf";"Katrin Aue";30M 0S;2021-07-07
"76";"Mittag";"Zukunftskommission Landwirtschaft übergibt Abschlussbericht / Reisebeschränkungen für Delta-Gebiete gelockert / Misstrauen überwinden - Westbalkan-Gipfel / Prozessauftakt gegen ehemaligen FPÖ-Chef und Vizekanzler HC Strache";"https://www.sr-mediathek.de/index.php?seite=7&id=21325&pnr=&tbl=pf";"Katrin Aue";29M 43S;2021-07-06
"77";"Mittag";"Lage Grüne Saarland / Radwege - Kommunen übernehmen für LfS / BSI zu Hackerangriff auf deutsche Unternehmen / Umstrittenes Gesetz - Zerreißprobe für israelische Regierung / Verfassungskonvent in Chile wählt indigene Vorsitzende";"https://www.sr-mediathek.de/index.php?seite=7&id=21308&pnr=&tbl=pf";"Karin Mayer";29M 49S;2021-07-05
