"";"Format";"Themen";"Links";"Autor";"Laenge";"Datum"
"1";"Mittag";"Nach dem Bund-Länder-Treffen / Saar-Reaktionen auf MPK-Beschlüsse / Deutschlandticket zwischen Lob und Tadel / Ein Monat neuer Krieg in Nahost / Schulze gibt Geld für Palästinenser wieder frei / Städtepartnerschaft Saarland-Lwiw";"https://www.sr-mediathek.de/index.php?seite=7&id=32882&pnr=&tbl=pf";"Florian Mayer";29M 58S;2023-11-07
"2";"Mittag";"Flüchtlingspolitik von Bund und Ländern Ministerpräsident*Innen beraten erst unter sich / Interview  Prof. Roland Rixecker, Antisemitismusbeauftragter des Saarlandes zu Palästinenserdemos / Lage Israel / Gaza";"https://www.sr-mediathek.de/index.php?seite=7&id=32869&pnr=&tbl=pf";"Peter Weitzmann";26M 54S;2023-11-06
"3";"Mittag";" Nach Nasrallahs Rede im Libanon: Zieht die Hisbollah in denKrieg? / Streit im Kongress  was wird aus der Israel-Hilfe der USA?/ KfW-Studienkredite  SPD-Fraktion fordert Rücknahme der Zinserhöhung.";"https://www.sr-mediathek.de/index.php?seite=7&id=32850&pnr=&tbl=pf";"Florian Mayer";30M 0S;2023-11-04
"4";"Mittag";"Update Israel und Gaza-Streifen / Faeser verkündet Betätigungsverbot für Hamas / Russische Kriegsgefangene in der Ukraine / Jahrhundertspiel des FCS";"https://www.sr-mediathek.de/index.php?seite=7&id=32814&pnr=&tbl=pf";"Florian Mayer";29M 56S;2023-11-02
"5";"Mittag";"Lage Israel/Gaza / Strompreishilfen, Steuer-Entlastung, schneller Ausbau der Wasserstoff-Technologie / Regionale Steuerschätzung / Kommentar zum Ludwigspark";"https://www.sr-mediathek.de/index.php?seite=7&id=32800&pnr=&tbl=pf";"Peter Weitzmann";30M 1S;2023-10-31
"6";"Mittag";"Aktuelle Lage Gazastreifen / 20 Verletzte nach antisemitischen Angriffen auf israelisches Flugzeug in Dagestan / Migrationsabkommen - Ist Marokko der bessere Partner? / Acapulco nach Hurrikan Otis: Wir müssen komplett neu anfangen";"https://www.sr-mediathek.de/index.php?seite=7&id=32786&pnr=&tbl=pf";"Peter Weitzmann";30M 0S;2023-10-30
"7";"Mittag";"Lage Israel/Gazastreifen/Westjordanland / Bestätigt: Mutmaßlicher Todesschütze von Maine tot aufgefunden /  Antarktis-Schutzgebiete wieder nicht beschlossen / IdW mit Tobias Schunk Flüchtlingsrat.";"https://www.sr-mediathek.de/index.php?seite=7&id=32769&pnr=&tbl=pf";"Peter Weitzmann";29M 59S;2023-10-28
"8";"Mittag";"SPD ehrt Schröder für 60 Jahre Mitgliedschaft / Zweiter Tag EU-Gipfel Brüssel / Todesschütze aus Maine weiter auf der Flucht / Ein Jahr Twitter oder X unter Elon Musk.";"https://www.sr-mediathek.de/index.php?seite=7&id=32754&pnr=&tbl=pf";"Peter Weitzmann";29M 58S;2023-10-27
"9";"Mittag";"Aktuelle Lage Gaza/Israel, EU-Gipfel: zwei Kriege sorgen für schwierige Positionssuche, Wie Biden Druck auf Israel ausübt, Ampel kürzt Mittel für Projekte Wohlfahrtsverbände";"https://www.sr-mediathek.de/index.php?seite=7&id=32734&pnr=&tbl=pf";"Isabelle Tentrup";30M 6S;2023-10-26
"10";"Mittag";"Aktuelle Lage in Gaza und Israel / Umstrittene Guterrez-Äußerungen - Eklat im UN-Sicherheitsrat / Kabinett: Faeser bringt umfassendes Gesetzespaket für mehr und schnellere Rückführungen ein / Frachterkollision in der Nordsee";"https://www.sr-mediathek.de/index.php?seite=7&id=32721&pnr=&tbl=pf";"Peter Weitzmann";29M 57S;2023-10-25
