"";"Format";"Themen";"Links";"Autor";"Laenge";"Datum"
"1";"Mittag";"Europa ohne Facebook Instagram? Reisende soll man nicht aufhalten / KfW-Stopp gefährdet Sozialen Wohnungsbau in Saarlouis / Corona, Impfpflicht und Co - PK Wieler und Lauterbach";"https://www.sr-mediathek.de/index.php?seite=7&id=24286&pnr=&tbl=pf";"Katrin Aue";30M 0S;2022-02-08
"2";"Mittag";"Gedenkveranstaltung RAG am 60. Jahrestag des Grubenunglücks von Luisenthal / Unwetter im Saarland - Kleinblittersdorf besonders betroffen / Scholz bei Biden - So schauen die USA auf BRD / Ostukraine - Alltag in der Konfliktzone";"https://www.sr-mediathek.de/index.php?seite=7&id=24273&pnr=&tbl=pf";"Jochen Marmit";30M 2S;2022-02-07
"3";"Mittag";"Wo ist Scholz? - Bundeskanzler in der Kritik / Republikaner rügen Trump-Kritiker - und Pence rügt Trump / Apotheken bereiten sich aufs Impfen vor / Zwei Jahre Pandemie am Flughafen Saarbrücken";"https://www.sr-mediathek.de/index.php?seite=7&id=24258&pnr=&tbl=pf";"Peter Weitzmann";29M 59S;2022-02-05
"4";"Mittag";"Großer Empfang - Xi Junping trifft Wladimir Putin / Trauerfeier für getötete Polizisten in Kusel / Verbot für die DW - Politische Reaktionen Berlin / Lindner bringt neue Corona-Hilfen auf den Weg";"https://www.sr-mediathek.de/index.php?seite=7&id=24243&pnr=&tbl=pf";"Katrin Aue";30M 1S;2022-02-04
"5";"Mittag";"Corona lockern - aber wann? / Neue Nettigkeiten mit Schwesterpartei CSU - Klausur zweiter Tag / Ukraine-Krise - USA tritt rhetorisch auf die Bremse";"https://www.sr-mediathek.de/index.php?seite=7&id=24221&pnr=&tbl=pf";"Katrin Aue";29M 59S;2022-02-03
"6";"Mittag";"Impf-Pflicht im Gesundheitswesen - viele Fragezeichen / Interview mit Thomas Hesse, Personaldirektor Klinikum Saarbrücken, zu mexikanischen Fachkräften / Wahlkampfauftakt CDU / Zehn Jahre Rettungsschirm ESM - Lage in Griechenland";"https://www.sr-mediathek.de/index.php?seite=7&id=24210&pnr=&tbl=pf";"Peter Weitzmann";30M 0S;2022-02-02
"7";"Mittag";"Nach den Schüssen auf Polizisten -Stellungnahme der Ermittler / Welche Zukunft hat das Saarland? Teil 2: Infrastruktur / Arbeitsmarktbericht Januar / Siltronic-Deal geplatzt - Chipzulieferer wird nicht verkauft / Strengere Regeln für Reisen in der EU. EU-Impfnachweise erlöschen neun Monate nach Grundimmunisierung / Israel reagiert empört auf Amnesty Apartheidsbericht / Kalifornien schafft Todestrakt von San Quentin ab";"https://www.sr-mediathek.de/index.php?seite=7&id=24192&pnr=&tbl=pf";"Katrin Aue";30M 21S;2022-02-01
"8";"Mittag";"Zwei tote Polizisten im Kreis Kusel / SPD-Spitze berät über Ukraine-Krise / Corona - Söder fordert  Öffnungsschritte / Impfreaktionen im Saarland / Start Serie ""Welche Zukunft hat das Saarland"" <U+0096> Strukturwandel / Vereinigte Arabische Emirate: Abwehr eines Huthi-Raketenangriffs während Reise des israelischen Staatspräsidenten / Präsidentschaftswahlkampf in Frankreich - Ex-Justizministerin siegt bei Online-Umfrage unter Linken / Portugal - Sozialisten gewinnen vorgezogene Parlamentswahl deutlich";"https://www.sr-mediathek.de/index.php?seite=7&id=24173&pnr=&tbl=pf";"Katrin Aue";29M 40S;2022-01-31
"9";"Mittag";"Meuthen verlässt die AfD - Reaktionen / Meuthen verlässt die AfD - Reaktionen / IdW mit Prof. Stefan Bratzel, Direktor des Center of Automotive Management in Bergisch Gladbach";"https://www.sr-mediathek.de/index.php?seite=7&id=24159&pnr=&tbl=pf";"Katrin Aue";30M 11S;2022-01-29
"10";"Mittag";"Kurz erklärt - Wie viel sagt die Inzidenz noch aus? / Kreiswahlausschuss SB - Welche AfD-Liste zieht? / Schweden stimmt für Atommüll-Endlager / Paraguay - Paradies für deutsche Impfgegner?";"https://www.sr-mediathek.de/index.php?seite=7&id=24143&pnr=&tbl=pf";"Katrin Aue";30M 2S;2022-01-28
"11";"Mittag";"Missbrauchsgutachten München - Kardinal Marx äußert sich / Ford Saarlouis reicht Zukunftspläne bei Zentrale ein / Elf Jahre nach Fukushima - erste Klagen wegen Schilddrüsenkrebs / Internationaler Holocaust-Gedenktag";"https://www.sr-mediathek.de/index.php?seite=7&id=24123&pnr=&tbl=pf";"Katrin Aue";30M 5S;2022-01-27
"12";"Mittag";"Bundestag: Orientierungsdebatte Allgemeine Impfpflicht / Pro und Contra: Impfpflicht / Hauptgeschäftsführer des saarländischen Einzelhandelsverbands, Genth,  zu FFP2-Masken / Umstrittene Entscheidung - Erneut staatliche Hilfen für Galeria Kaufhof / Ukraine-Konflikt - Gespräche im Normandie-Format. Treffen auf Beraterebene in Paris / Die Wahrnehmung der Anderen. Russische Medien und die Ukraine-Krise / Taliban-Delegation in Oslo. Gemischtes Fazit nach dreitägigem Besuch / Special Olympics";"https://www.sr-mediathek.de/index.php?seite=7&id=24110&pnr=&tbl=pf";"Peter Weitzmann";30M 0S;2022-01-26
"13";"Mittag";"Russland, die NATO und die Osterweiterung / Polizei ermittelt weiter nach Amoklauf an Uni Heidelberg / Reaktionen auf Coming Out in der katholischen Kirche / Blaufabrik Sulzbach abgerissen";"https://www.sr-mediathek.de/index.php?seite=7&id=24098&pnr=&tbl=pf";"Yvonne Schleinhege";30M 12S;2022-01-25
"14";"Mittag";"Corona <U+0096> Bund-Länder-Schalte / China - 72 Fälle in Olympia-Blase - Null-Covid auf dem Prüfstand / Italien wählt neues Staatsoberhaupt / ""Wie Gott uns schuf"" - Coming out katholisch";"https://www.sr-mediathek.de/index.php?seite=7&id=24078&pnr=&tbl=pf";"Lisa Krauser";29M 56S;2022-01-24
"15";"Mittag";"CDU-Parteitag - Armin Laschet geht / FDP hat ihr Wahlprogramm vorgestellt / Shopping-Ansturm? <U+0096> Nach Kippen der 2G-Regel /  Interview der Woche mit Historiker Peter Longerich zur Wannseekonferenz";"https://www.sr-mediathek.de/index.php?seite=7&id=24065&pnr=&tbl=pf";"Lisa Krauser";30M 6S;2022-01-22
"16";"Mittag";"AfD schafft es nicht, eine Landesliste für die Landtagswahl einzureichen / Corona-Rekorde in Deutschland / Corona-Lockerungen in Frankreich angekündigt / Missbrauchsskandal in der katholischen Kirche / Umweltbundesamt kritisiert die Handelsketten für ihren Umgang mit Lebensmitteln";"https://www.sr-mediathek.de/index.php?seite=7&id=24048&pnr=&tbl=pf";"Lisa Krauser";30M 5S;2022-01-21
