"";"Format";"Themen";"Links";"Autor";"Laenge";"Datum"
"1";"Mittag";"Die Uhr tickt - Lage am Flughafen Kabul / Lage im Ahrtal - sechs Wochen nach der Flutkatastrophe / Lachssterben im Columbia River / Paralympics - Sportliches vom Vormittag";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=22007&pnr=&tbl=pf";"Peter Weitzmann";"00:30:01";"25.08.2021"
"2";"Mittag";"Lage in Afghanistan / Corona - Diskussion über Inzidenzwert etc. / Studie - Immer noch viele Antibiotika an Putenfleisch / Brasilien - Proteste von Indigenen nehmen zu / Paralympics vor der Eröffnung";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21995&pnr=&tbl=pf";"Yvonne Schleinhege";"00:30:07";"24.08.2021"
"3";"Mittag";"Afghanistan: Schüsse am Flughafen/6500 Menschen aus Afghanistan in Ramstein gelandet/Bahnstreiks seit dem Morgen - Auswirkungen/Schwedens Premier kündigt Rücktritt an.";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21982&pnr=&tbl=pf";"Peter Weitzmann";"00:30:01";"23.08.2021"
"4";"Mittag";"Afghanische Ortskräfte in Ramstein angekommen / Kanzlerin Merkel zwischen Moskau und Kiew / Besuchsregelung in saarländischen Krankenhäusern / IdW mit Volker Bescht, Ex-Brigadegeneral";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21968&pnr=&tbl=pf";"Yvonne Schleinhege";"00:30:05";"21.08.2021"
"5";"Mittag";"Afghanistan: Aktuelle Lage vor Ort / Kommentar: Biden demontiert sich und Amerikas Zukunft / Nawalny: Aus den Augen, aus dem Sinn? / Entwicklung Corona: Mitten in der Vierten Welle?";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21955&pnr=&tbl=pf";"Peter Weitzmann";"00:29:57";"20.08.2021"
"6";"Mittag";"Afghanen in der Türkei – unsicher im ungeliebten Land/Welttag  humanitäre Hilfe:  wie weiter z.B.  in Afghanistan/Tote bei Anschlag in Burkina Faso/Prozessauftakt Amokfahrt  Trier.";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21933&pnr=&tbl=pf";"Janek Böffel";"00:29:53";"19.08.2021"
"7";"Mittag";"Kabuler Flughafen: Tränengas und Tumulte/USA: Wie konnte das passieren?Spurensuche nach der Fehleinschätzung/Zinssatz auf Steuernachforderungen ist verfassungswidrig.";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21923&pnr=&tbl=pf";"Janek Böffel";"00:29:36";"18.08.2021"
"8";"Mittag";"Lage in Kabul an Tag 1 der Taliban-Herrschaft / USA stocken Militär in Kabul auf / Lage der deutschen Evakuierungaktion / Mehr als 1300 Tote nach Erdbeben auf Haiti / Gerd Müller gestorben";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21891&pnr=&tbl=pf";"Lisa Krauser";"00:30:19";"16.08.2021"
"9";"Mittag";"Afghanistan: Flüchtlinge haben Angst/Türkei im Dauer-Krisenmodus/IdW mit Armin Schuster, Präsident des Bundesamtes für Bevölkerungsschutz und Katastrophenhilfe.";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21878&pnr=&tbl=pf";"Lisa Krauser";"00:29:53";"14.08.2021"
"10";"Mittag";"BVerfG-Entscheidung zur Wahlrechtsreform / Gedenkveranstaltung 60 Jahre Mauerbau / DRK St. Ingbert lässt Verträge von 25 Mitarbeitern auslaufen / Biden schickt Sondergesandten nach Äthiopien";"https://dev2.sr-mediathek.sr-multimedia.de/index.php?seite=7&id=21860&pnr=&tbl=pf";"Peter Weitzmann";"00:29:49";"13.08.2021"
